onset	duration	nwb_table	treelevel
8.217000007629395	0.09999999999999964	epochs	0.0
8.217000007629395	0.04499999999999993	epochs	1.0
8.262000007629394	0.010004999999999598	epochs	1.0
8.272005007629394	0.04499500000000012	epochs	1.0
8.317000007629394	0.7049950000000003	epochs	0.0
8.317000007629394	0.5	epochs	-1.0
8.317000007629394	0.5	epochs	-1.0
8.317000007629394	0.5	epochs	1.0
8.817000007629394	0.0600000000000005	epochs	-1.0
8.817000007629394	0.025000000000000355	epochs	-1.0
8.817000007629394	0.025000000000000355	epochs	1.0
8.842000007629395	0.009999999999999787	epochs	-1.0
8.842000007629395	0.009999999999999787	epochs	1.0
8.852000007629394	0.025000000000000355	epochs	-1.0
8.852000007629394	0.025000000000000355	epochs	1.0
8.877000007629395	0.0600000000000005	epochs	-1.0
8.877000007629395	0.025000000000000355	epochs	-1.0
8.877000007629395	0.025000000000000355	epochs	1.0
8.902000007629395	0.009999999999999787	epochs	-1.0
8.902000007629395	0.009999999999999787	epochs	1.0
8.912000007629395	0.025000000000000355	epochs	-1.0
8.912000007629395	0.025000000000000355	epochs	1.0
8.937000007629395	0.05999999999999872	epochs	-1.0
8.937000007629395	0.02499999999999858	epochs	-1.0
8.937000007629395	0.02499999999999858	epochs	1.0
8.962000007629394	0.010000000000001563	epochs	-1.0
8.962000007629394	0.010000000000001563	epochs	1.0
8.972000007629395	0.02499999999999858	epochs	-1.0
8.972000007629395	0.02499999999999858	epochs	1.0
8.997000007629394	0.024995000000000545	epochs	1.0
4559.085000038147	0.1000000000003638	epochs	0.0
4559.085000038147	0.04500000000007276	epochs	1.0
4559.130000038147	0.010005000000091968	epochs	1.0
4559.140005038147	0.04499500000019907	epochs	1.0
4559.185000038147	0.7049950000000536	epochs	0.0
4559.185000038147	0.5	epochs	-1.0
4559.185000038147	0.5	epochs	1.0
4559.685000038147	0.05999999999949068	epochs	-1.0
4559.685000038147	0.024999999999636202	epochs	-1.0
4559.685000038147	0.024999999999636202	epochs	1.0
4559.710000038147	0.010000000000218279	epochs	-1.0
4559.710000038147	0.010000000000218279	epochs	1.0
4559.720000038147	0.024999999999636202	epochs	-1.0
4559.720000038147	0.024999999999636202	epochs	1.0
4559.745000038147	0.06000000000040018	epochs	-1.0
4559.745000038147	0.025000000000545697	epochs	-1.0
4559.745000038147	0.025000000000545697	epochs	1.0
4559.770000038147	0.009999999999308784	epochs	-1.0
4559.770000038147	0.009999999999308784	epochs	1.0
4559.780000038147	0.025000000000545697	epochs	-1.0
4559.780000038147	0.025000000000545697	epochs	1.0
4559.805000038147	0.05999999999949068	epochs	-1.0
4559.805000038147	0.024999999999636202	epochs	-1.0
4559.805000038147	0.024999999999636202	epochs	1.0
4559.830000038147	0.010000000000218279	epochs	-1.0
4559.830000038147	0.010000000000218279	epochs	1.0
4559.840000038147	0.024999999999636202	epochs	-1.0
4559.840000038147	0.024999999999636202	epochs	1.0
4559.865000038147	0.024995000000672007	epochs	1.0
4622.091000080109	0.1000000000003638	epochs	0.0
4622.091000080109	0.04500000000007276	epochs	1.0
4622.136000080109	0.010005000000091968	epochs	1.0
4622.146005080109	0.04499500000019907	epochs	1.0
4622.191000080109	61.384994999999435	epochs	0.0
4622.191000080109	0.5	epochs	-1.0
4622.191000080109	0.5	epochs	-1.0
4622.191000080109	0.5	epochs	1.0
4622.691000080109	0.05999999999949068	epochs	-1.0
4622.691000080109	0.024999999999636202	epochs	-1.0
4622.691000080109	0.024999999999636202	epochs	1.0
4622.716000080109	0.010000000000218279	epochs	-1.0
4622.716000080109	0.010000000000218279	epochs	1.0
4622.726000080109	0.024999999999636202	epochs	-1.0
4622.726000080109	0.024999999999636202	epochs	1.0
4622.7510000801085	0.06000000000040018	epochs	-1.0
4622.7510000801085	0.025000000000545697	epochs	-1.0
4622.7510000801085	0.025000000000545697	epochs	1.0
4622.776000080109	0.009999999999308784	epochs	-1.0
4622.776000080109	0.009999999999308784	epochs	1.0
4622.786000080108	0.025000000000545697	epochs	-1.0
4622.786000080108	0.025000000000545697	epochs	1.0
4622.811000080109	0.05999999999949068	epochs	-1.0
4622.811000080109	0.024999999999636202	epochs	-1.0
4622.811000080109	0.024999999999636202	epochs	1.0
4622.8360000801085	0.010000000000218279	epochs	-1.0
4622.8360000801085	0.010000000000218279	epochs	1.0
4622.846000080109	0.024999999999636202	epochs	-1.0
4622.846000080109	0.024999999999636202	epochs	1.0
4622.871000080108	60.0	epochs	1.0
4682.871000080108	0.5	epochs	-1.0
4682.871000080108	0.5	epochs	-1.0
4682.871000080108	0.5	epochs	1.0
4683.371000080108	0.06000000000040018	epochs	-1.0
4683.371000080108	0.025000000000545697	epochs	-1.0
4683.371000080108	0.025000000000545697	epochs	1.0
4683.396000080109	0.009999999999308784	epochs	-1.0
4683.396000080109	0.009999999999308784	epochs	1.0
4683.406000080108	0.025000000000545697	epochs	-1.0
4683.406000080108	0.025000000000545697	epochs	1.0
4683.431000080109	0.05999999999949068	epochs	-1.0
4683.431000080109	0.024999999999636202	epochs	-1.0
4683.431000080109	0.024999999999636202	epochs	1.0
4683.456000080108	0.010000000000218279	epochs	-1.0
4683.456000080108	0.010000000000218279	epochs	1.0
4683.466000080109	0.024999999999636202	epochs	-1.0
4683.466000080109	0.024999999999636202	epochs	1.0
4683.491000080108	0.06000000000040018	epochs	-1.0
4683.491000080108	0.025000000000545697	epochs	-1.0
4683.491000080108	0.025000000000545697	epochs	1.0
4683.516000080109	0.010000000000218279	epochs	-1.0
4683.516000080109	0.010000000000218279	epochs	1.0
4683.526000080109	0.024999999999636202	epochs	-1.0
4683.526000080109	0.024999999999636202	epochs	1.0
4683.551000080109	0.024994999999762513	epochs	1.0
4724.408999919891	0.1000000000003638	epochs	0.0
4724.408999919891	0.04500000000007276	epochs	1.0
4724.453999919891	0.010005000000091968	epochs	1.0
4724.4640049198915	0.04499500000019907	epochs	1.0
4724.508999919892	0.7049950000000536	epochs	0.0
4724.508999919892	0.5	epochs	-1.0
4724.508999919892	0.5	epochs	-1.0
4724.508999919892	0.5	epochs	1.0
4725.008999919892	0.05999999999949068	epochs	-1.0
4725.008999919892	0.024999999999636202	epochs	-1.0
4725.008999919892	0.024999999999636202	epochs	1.0
4725.033999919891	0.010000000000218279	epochs	-1.0
4725.033999919891	0.010000000000218279	epochs	1.0
4725.043999919892	0.024999999999636202	epochs	-1.0
4725.043999919892	0.024999999999636202	epochs	1.0
4725.068999919891	0.06000000000040018	epochs	-1.0
4725.068999919891	0.025000000000545697	epochs	-1.0
4725.068999919891	0.025000000000545697	epochs	1.0
4725.093999919892	0.009999999999308784	epochs	-1.0
