participant_id	original_participant_id	species	sex
sub-1461085915	sub-1461085915	http://purl.obolibrary.org/obo/NCBITaxon_9545	F
sub-1462309523	sub-1462309523	http://purl.obolibrary.org/obo/NCBITaxon_9541	M
sub-1463489383	sub-1463489383	http://purl.obolibrary.org/obo/NCBITaxon_9541	F
sub-1464929863	sub-1464929863	http://purl.obolibrary.org/obo/NCBITaxon_9545	M
sub-1467498546	sub-1467498546	http://purl.obolibrary.org/obo/NCBITaxon_9545	F
sub-1467955115	sub-1467955115	http://purl.obolibrary.org/obo/NCBITaxon_9541	M
sub-1468994735	sub-1468994735	http://purl.obolibrary.org/obo/NCBITaxon_9545	F
sub-1469410891	sub-1469410891	http://purl.obolibrary.org/obo/NCBITaxon_9541	F
sub-1471025096	sub-1471025096	http://purl.obolibrary.org/obo/NCBITaxon_9541	M
sub-1473693064	sub-1473693064	http://purl.obolibrary.org/obo/NCBITaxon_9541	F
sub-1475259024	sub-1475259024	http://purl.obolibrary.org/obo/NCBITaxon_9541	M
